GeneID	GSM5115668	GSM5115669	GSM5115670	GSM5115671	GSM5115672	GSM5115673	GSM5115674	GSM5115675
374955	1007	1119	852	815	1075	914	705	664
55707	1103	1108	814	840	1439	1283	852	963
107984921	6	8	9	8	19	16	16	15
114819	54	55	42	39	72	55	49	43
26871	6	17	12	12	44	29	47	55
107985757	0	0	0	0	0	0	0	0
100132147	1	2	1	2	4	0	4	3
107985758	1	0	0	0	0	0	0	0
7195	1	2	0	1	3	1	0	0
55672	624	709	548	549	1058	875	535	609
105376794	439	449	353	347	822	695	620	599
84809	479	479	363	355	675	554	498	548
11209	1195	1170	814	849	3076	2471	2619	2838
107985736	7	12	14	10	17	19	10	13
26869	6	17	12	11	42	24	49	55
107985759	0	0	0	0	1	0	0	0
284729	27	21	11	19	85	48	53	59
100189045	0	1	0	0	0	0	1	0
6060	5	16	11	12	41	20	43	49
11223	1212	1224	844	904	1592	1342	1385	1481
100500876	1	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0
112267871	0	4	1	1	1	0	1	1
7193	0	0	0	0	0	0	0	0
100189183	1	0	0	0	0	0	0	0
105376805	262	281	183	151	14	8	9	7
791226	1	0	0	0	0	0	0	0
26870	5	17	14	13	43	21	44	51
9696	248	230	161	212	195	148	135	140
4237	283	257	191	181	19	17	18	16
105376806	25	33	14	23	4	1	1	2
23400	363	364	320	324	1271	1109	843	809
6390	1927	1996	1454	1333	2523	2235	1512	1585
11240	26	20	11	11	0	0	3	3
105376808	0	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0	0
29943	1	1	0	0	0	0	1	2
51702	0	0	1	0	1	0	0	2
100616188	0	0	0	0	0	0	0	0
23569	0	3	1	0	0	0	0	1
353238	1	0	0	2	0	0	0	0
55920	2739	3269	2319	2276	2009	1646	1375	1249
55160	2335	2268	1718	1845	2157	1712	1295	1401
107984028	1	3	1	0	2	3	4	2
81569	0	0	0	0	15	5	5	8
105376809	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0
84966	1	0	0	0	0	0	0	0
105376814	0	0	0	0	0	0	0	0
127707	0	0	0	0	43	28	32	25
5081	0	0	0	0	0	0	0	0
80834	3	4	1	1	0	1	2	0
8659	2820	2864	2156	2191	6679	5616	4260	4094
100616120	0	0	0	0	0	0	0	0
100302276	0	0	1	0	0	0	0	1
126917	467	537	401	428	1041	934	631	578
105376815	3	4	6	1	2	1	0	1
23352	6865	7821	6415	6852	6687	5584	2672	3000
101927895	46	51	35	41	83	63	32	35
23065	1876	2079	1683	1625	2827	2305	1694	1616
51154	1610	1675	1224	1294	1918	1635	1187	1238
246181	44	40	34	31	61	64	40	48
22977	34	25	22	26	39	38	34	37
100506730	30	37	26	24	48	30	40	33
8574	751	683	614	571	1716	1520	1060	1138
54896	454	434	430	412	662	552	352	374
832	4225	4559	3486	3530	8174	7147	4990	5226
105376819	0	0	1	0	0	1	0	0
105376818	0	1	0	0	0	0	0	0
105376817	0	0	0	0	0	0	0	0
105378614	0	0	0	0	0	0	0	0
440574	1867	2032	1411	1255	1537	1534	1191	1428
100532736	56	90	51	58	1198	996	702	689
644068	1149	948	801	769	3224	2974	2289	2824
4681	34	32	25	27	1164	983	690	678
3362	1	0	0	2	1	0	0	0
255104	154	155	147	128	192	150	94	87
54546	1	0	0	3	2	5	5	7
105376823	0	0	0	1	0	0	0	0
23252	305	411	283	296	401	357	233	276
30814	0	1	0	0	2	1	4	3
5320	185	167	174	143	136563	115088	80590	91053
5322	0	0	0	0	0	0	0	0
26279	0	0	0	0	0	0	2	0
64600	0	0	0	0	0	0	0	0
391013	0	0	0	0	0	0	0	1
127733	1	2	0	1	26	15	15	24
101928017	0	0	0	0	1	0	0	0
105376825	0	3	0	0	0	0	1	0
105376826	2	0	0	0	0	0	0	1
105376827	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0
127731	2	2	0	0	1	0	1	2
339505	9	2	2	4	1	1	2	0
55450	1725	1916	1700	1693	7948	7195	5387	5247
79594	629	628	480	516	1262	1036	708	664
163933	19	21	18	25	215	167	114	137
978	78	81	57	54	189	138	113	151
65018	306	325	243	274	761	651	475	497
102464833	9	4	2	7	25	20	15	9
100861548	414	487	354	331	886	836	643	639
1650	6238	6319	4665	4588	13080	11383	7647	8160
57576	2	3	2	1	61	44	34	19
400745	18	13	22	12	47	51	34	45
112268222	886	1060	819	652	660	627	520	464
50809	4293	4939	3587	3622	3407	2980	1632	1654
8672	3596	4040	2926	3110	2384	2002	1179	1187
105376830	3	3	3	1	0	1	5	2
105376829	0	2	1	1	1	0	2	1
100302155	0	0	0	0	0	0	0	0
1889	2397	2618	2247	2274	3946	3275	2071	2117
100506801	0	2	0	2	2	1	1	0
105376832	0	0	0	0	1	1	2	1
84224	40	49	32	31	162	141	89	92
249	3	2	2	4	79	68	35	49
105376834	1	1	0	0	0	0	0	0
5909	500	528	408	451	1168	1011	694	747
84196	2031	2350	1616	1582	1521	1403	918	1067
401944	268	262	251	285	401	345	369	359
3339	2306	2621	2454	2842	4399	3607	1896	2154
23436	1	0	0	0	3	1	1	3
10136	3	0	0	0	1	1	2	1
101928043	5	5	3	4	0	2	4	3
29092	219	242	150	154	170	171	128	131
112268223	10	24	12	9	12	14	9	16
998	5533	6754	4475	4054	6010	5337	4005	3889
54361	5	4	2	2	2	1	1	0
105376845	6	5	1	3	5	1	1	0
105376850	0	1	1	0	0	2	2	1
107985377	0	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	0	0
9923	1181	1336	918	996	1172	961	630	720
2046	0	0	1	0	0	1	0	1
102466615	0	0	0	0	0	0	0	0
712	1	0	0	1	0	0	0	0
714	1	1	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0
2048	32	49	23	22	2	2	3	4
100616391	0	0	0	0	0	0	0	0
100422914	0	0	0	0	0	0	0	0
646262	0	0	1	0	1	2	0	1
729059	3	2	5	5	0	1	0	3
23028	4761	5117	3511	3559	5675	4744	3508	3475
100422866	0	0	0	0	0	0	0	0
7798	1181	1379	1144	1081	1410	1204	655	590
3352	2	2	3	3	8	6	2	5
100996511	22	33	26	13	44	58	49	47
10236	5160	5987	3731	3715	6747	5988	4138	4208
80818	222	244	188	190	310	271	165	160
148898	35	43	32	28	23	19	33	30
6920	1730	1633	1220	1289	3004	2294	1833	1997
55616	1300	1403	1017	1116	1092	861	617	641
1870	257	287	174	228	339	301	217	215
101928163	2	2	3	1	4	3	3	1
105376859	23	21	11	17	7	7	3	3
3399	3709	3535	2843	2954	3503	3100	2203	2392
107984928	3	2	2	2	2	2	3	2
259283	1	0	2	0	2	1	0	0
6135	28417	27496	17645	17488	31387	26800	23178	26450
6924	823	839	596	608	1750	1458	1076	1013
100506963	124	119	92	83	129	103	73	82
57095	878	992	651	642	927	902	698	687
105376860	88	84	84	67	87	81	46	57
11313	2550	2431	1855	1905	2513	2121	1665	1773
2582	1333	1202	982	1005	2266	1883	1475	1488
3155	1779	1700	1177	1242	927	811	648	663
105376861	5	5	3	1	0	2	0	1
2517	363	374	313	264	990	885	622	632
1269	1	0	5	0	0	0	0	1
107984929	1	0	0	0	1	0	0	0
100616492	0	0	0	0	0	0	0	0
55629	2574	2975	1971	1812	1755	1546	1074	1163
10772	5375	6437	4431	3948	3543	3128	2040	2170
105378615	0	0	0	0	0	0	0	0
105376863	2	7	2	3	2	5	3	9
107984931	2	1	0	0	14	5	6	8
127294	5	3	1	3	765	642	498	430
107985737	2	0	0	0	2	2	2	2
105376864	1	0	0	0	3	2	1	3
58985	68	70	49	51	324	283	183	178
163702	217	255	204	182	210	185	132	119
284632	1	2	0	1	2	0	0	0
105376871	10	13	8	2	0	0	0	1
57822	2	5	5	5	0	0	0	0
90529	133	141	102	95	155	138	99	77
57185	409	459	307	284	355	317	236	182
100750325	18	13	10	10	2	1	2	0
11123	837	1041	765	747	874	762	635	549
100506985	38	48	37	36	28	20	18	17
400746	74	93	48	68	66	33	37	40
10250	3849	4353	3311	3338	2226	1700	1460	1242
25932	4070	5188	3927	3333	6483	5942	3393	3256
105376876	0	0	0	0	0	0	0	0
864	7	8	3	1	43	28	15	25
102465437	0	0	0	0	0	0	0	0
107984932	1	1	0	0	0	0	0	0
105376878	2	3	0	0	0	0	0	0
100616365	0	0	0	0	0	0	0	0
105376879	0	0	0	0	0	0	0	0
25949	936	852	603	584	1189	993	952	992
57035	589	683	499	431	829	632	482	620
105376882	0	0	0	0	0	0	0	0
6007	6	6	5	6	3	1	2	2
23585	1197	1295	994	867	1398	1275	917	970
6006	763	820	610	539	818	716	586	575
55219	1231	1422	1089	998	1615	1327	960	967
26119	522	460	414	413	624	552	353	391
57134	341	400	287	252	9	9	12	0
57190	2115	2368	1779	1842	990	788	541	592
56181	967	977	711	691	1082	854	630	663
646471	137	139	88	90	126	92	80	74
79000	286	290	248	244	308	248	173	192
164091	424	485	341	357	692	544	470	485
3925	13518	14530	10288	9140	8606	7489	5214	5511
100500808	0	3	1	2	1	1	0	0
105376885	0	0	0	0	0	0	1	0
5051	525	560	389	405	399	334	236	268
101928216	0	1	3	1	3	4	4	7
2134	1	0	1	0	1	3	3	9
7780	2	1	0	0	0	0	1	0
105376910	1	2	0	0	0	0	0	1
84676	1	0	0	0	0	0	0	0
149420	224	234	186	152	105	96	57	75
105376886	1	1	0	0	0	0	0	0
79927	0	0	1	3	0	1	5	3
110806296	1	0	0	0	0	0	0	0
51042	456	402	296	321	1121	962	710	742
10256	63	41	35	32	274	197	181	190
378807	2	0	0	0	0	0	0	0
101928303	71	100	68	64	38	29	26	29
64793	1588	1611	1170	1248	917	787	416	491
83442	1411	1271	993	972	1236	1054	849	893
91544	332	323	210	228	393	320	274	307
1043	0	1	0	1	5	6	3	3
55057	161	156	137	152	192	159	149	117
257101	2	0	1	0	1	0	1	0
79727	3	3	0	2	1	0	1	1
79947	784	817	669	623	779	706	539	495
101928324	5	1	1	0	0	2	1	0
3151	2216	2393	1594	1482	1413	1116	962	1025
6195	841	880	729	740	1094	858	607	579
100302190	0	0	0	0	0	0	0	0
105376888	1	0	0	0	0	1	0	0
101928728	5	8	2	5	3	3	3	3
8289	2238	2637	1971	2042	2377	1868	1249	1245
55650	159	194	144	119	526	493	363	368
84243	832	879	724	710	893	771	575	568
2810	605	564	457	493	2460	1983	1434	1523
54707	572	627	486	462	863	743	630	588
63906	867	821	683	716	618	522	355	355
10726	3731	3761	2800	3064	5780	4632	3591	3785
8431	196	172	124	142	1489	1287	1007	1117
126695	84	92	58	72	115	85	77	61
388610	2157	2326	2016	1970	6199	5436	3905	4087
115572	63	73	78	77	21	10	4	6
101928391	0	0	0	0	0	0	1	2
6548	142	177	158	143	256	245	174	180
102723760	0	0	0	0	0	0	1	0
105376890	0	4	0	0	0	0	0	1
23038	583	510	456	468	913	689	492	473
84065	626	602	466	561	775	636	465	473
644961	65	84	68	67	96	76	56	62
84958	25	36	14	14	364	328	245	232
9064	297	310	249	283	134	96	95	77
8547	1	1	1	0	0	0	0	0
388611	0	1	0	0	0	0	0	0
2827	9	23	5	5	37	30	19	25
10163	2299	2651	2070	2111	2783	2301	1596	1620
105376892	0	0	0	1	7	8	7	12
27245	264	283	239	252	382	287	158	211
2268	1	0	0	0	0	0	0	0
111216282	0	0	0	1	0	0	0	0
2537	48	62	41	37	345	309	223	219
199870	156	182	147	115	269	235	173	164
