GeneID	GSM6435443	GSM6435444	GSM6435445	GSM6435446	GSM6435447	GSM6435448	GSM6435449	GSM6435450	GSM6435451	GSM6435452	GSM6435453	GSM6435454	GSM6435455	GSM6435456
54973	4232	5423	5724	4718	5153	4691	4424	4281	4729	5783	4851	5918	4306	7671
102465435	9	13	18	18	24	8	2	10	12	18	22	25	15	27
80772	713	691	857	951	832	695	365	478	578	761	827	992	691	1508
83756	71	74	78	108	92	68	41	50	77	99	114	121	58	116
1855	2869	2870	3706	4769	4987	3609	1945	2558	2810	3571	3853	3874	3370	6220
102466740	1	1	2	2	6	3	0	0	1	1	2	3	1	1
54587	726	846	678	387	430	351	987	1038	1256	1474	657	1024	712	900
54998	2082	2247	1999	1739	2084	1530	2047	2019	2346	2465	2403	3349	2375	4462
81669	15922	19617	17947	12212	13952	15220	14914	12713	13483	17612	13329	16798	12477	18273
148413	1334	1811	1458	1109	1204	1262	1390	1266	1251	1483	1121	1674	1093	1617
55052	2254	2901	2543	2027	2512	2276	2631	2513	2565	2980	2804	3938	2679	4682
107984868	13	44	22	20	13	14	29	16	13	20	21	14	22	42
441869	58	68	71	51	46	56	25	34	48	54	62	37	45	59
105378585	11	28	17	20	11	25	16	16	17	26	17	8	16	10
643965	10	8	11	5	8	12	3	5	10	15	9	15	9	7
102724312	4	5	6	2	2	4	1	3	5	5	2	4	3	12
107985729	2	1	2	2	3	0	2	1	2	4	3	4	2	6
64856	445	463	399	215	225	199	112	129	178	182	116	137	140	291
219293	67	90	103	63	63	59	52	53	60	64	50	72	41	81
83858	1832	2167	2188	1651	1807	1399	1520	1479	1782	2178	1662	2093	1624	2538
55210	1464	1571	1545	1114	1148	803	1013	1155	1517	1737	1405	1854	1259	1921
339453	244	243	373	619	471	481	155	186	214	230	266	284	270	463
29101	3065	4217	4015	3460	4075	4257	4078	3488	3549	4118	3846	4929	3584	7143
643988	905	919	906	894	905	859	596	668	948	1165	644	1047	611	1256
105378586	60	88	79	135	100	137	48	41	84	77	72	90	81	134
142678	3421	3632	3765	4107	4103	3343	2399	2805	3386	4730	3736	4383	3429	6209
8510	118	140	128	131	154	108	72	61	81	122	126	140	95	198
984	2094	2705	2632	2051	2146	2366	2382	1972	2154	2701	2238	2835	2068	3345
728661	9871	14507	14934	12276	13034	14876	11694	9857	10352	13962	11722	15646	10332	17491
8511	24	58	34	42	53	22	10	11	24	34	58	37	29	68
728642	1625	2058	2116	1696	1852	1855	1758	1593	1782	2272	1863	2224	1577	2782
9906	4262	6155	6215	5243	5570	6778	5104	4263	4169	5618	4946	6231	4372	6825
112268218	301	349	320	229	254	214	223	237	276	324	257	346	218	359
65220	2665	3768	3160	2039	2262	2210	2847	2746	2775	3376	2204	3093	2373	3274
2782	24472	35706	35489	34736	32403	41895	30239	25364	21143	28605	26079	30589	25492	37285
105378949	58	54	51	43	40	45	67	65	75	79	72	96	44	176
163688	19	19	19	0	0	4	5	11	15	19	7	10	4	13
339456	52	91	72	71	49	79	45	51	76	94	30	60	47	43
85452	1121	1651	759	32	94	21	638	1100	1740	2235	44	771	78	117
107984872	49	86	33	2	3	0	32	50	87	106	5	38	6	6
105378589	11	7	11	3	3	2	4	6	14	15	1	2	0	3
2563	130	109	73	12	9	3	77	93	142	152	36	133	29	52
105378590	1	1	0	0	0	0	0	0	4	0	0	0	0	0
105378591	5	4	3	0	0	0	0	3	3	10	0	3	1	4
5590	2173	2671	2986	3931	3534	4406	1835	1829	1803	2147	2241	2520	2074	3446
100506504	183	270	325	309	262	329	187	155	165	222	193	263	220	254
199990	1487	1446	1595	1640	1658	1277	967	1083	1280	1607	1846	2053	1549	2766
112268219	146	232	228	142	196	112	120	129	146	207	152	206	123	199
105378593	16	12	21	1	9	7	5	3	10	17	2	5	4	2
6497	2423	3270	3287	2261	2055	2247	2108	1959	1918	2629	2301	3002	1944	2805
79906	818	864	721	243	380	298	686	762	1067	1230	553	877	493	804
100129534	301	463	347	72	112	59	102	161	242	262	117	273	120	227
11079	4146	5300	4772	3260	3728	3635	4561	3875	4203	5148	3804	5391	3719	6295
5192	1254	1381	1365	969	1164	875	1077	1184	1273	1522	1361	1900	1390	2112
9651	430	533	824	642	447	590	313	320	273	389	404	291	362	438
55229	1638	1715	1815	1826	1839	2016	1854	1616	1783	1988	1739	1968	1693	2740
388585	188	220	324	364	540	563	568	463	347	299	893	269	864	425
115110	1	4	4	16	24	16	14	15	43	31	28	5	30	32
8764	5	20	23	10	17	8	7	9	16	28	32	25	13	25
100996583	2	6	8	0	6	1	7	1	12	9	2	8	7	12
127281	1874	2306	2628	2556	2205	2543	2050	1781	1706	2168	2037	2592	1931	2811
79258	214	249	264	263	247	246	192	170	202	249	295	324	246	359
105378597	5	10	15	1	4	6	20	12	33	38	4	15	13	25
100287898	97	107	108	27	31	26	109	130	163	261	81	197	96	194
105378603	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105378602	2	5	2	0	0	0	1	2	4	6	0	2	1	0
105378601	2	4	5	0	0	0	1	2	6	7	0	3	0	0
112268220	3	9	9	0	0	0	2	1	6	14	0	2	0	0
107985732	2	7	4	0	0	1	1	2	12	7	0	4	0	1
105378600	3	3	5	0	0	1	1	2	9	8	0	3	0	0
105378598	51	125	66	0	10	1	64	100	173	211	6	48	7	11
107984904	7	9	6	0	0	1	3	8	15	12	0	4	1	0
105378599	5	8	5	1	0	1	5	5	9	12	0	6	1	0
140625	0	0	0	0	0	0	0	0	0	1	0	0	0	0
440556	3903	4513	2576	194	536	261	2823	3809	6778	7906	526	3581	909	1766
63976	2694	3329	2060	317	524	407	2177	2383	3894	4575	883	3069	929	1581
100422968	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105378606	5	18	11	2	1	1	10	10	23	28	2	6	0	1
107984909	2	3	5	4	4	0	11	16	20	29	5	9	7	8
105378605	1	7	3	0	0	0	0	1	4	3	3	3	0	4
105378604	152	168	103	10	12	8	119	143	178	261	16	208	19	56
27237	259	312	217	77	77	84	437	466	692	763	249	467	341	502
1953	1278	1441	1289	537	486	454	780	842	1004	1261	1019	1257	936	1237
105378608	0	0	0	0	0	0	0	0	1	0	0	1	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	1	0	2	0	0	0	0	0	0	0
127262	1565	2232	1950	1705	2102	2193	2329	1840	1918	2130	1636	2132	1733	3130
49856	1460	1769	1587	973	1305	1088	1554	1348	1369	1655	1346	1753	1253	2259
7161	1282	1533	882	49	85	59	399	468	716	939	63	470	111	119
105378610	15	21	7	0	3	0	5	4	8	8	0	1	0	3
105378609	1	0	2	0	0	0	1	0	0	1	0	0	0	0
57212	2953	4218	3577	2965	3441	3939	3685	2976	3100	4078	2965	3745	2732	4517
148870	21	35	25	23	20	15	44	41	61	55	27	21	16	48
388588	51	42	34	3	12	2	30	51	56	68	22	54	24	64
57470	3187	4250	4205	3979	4122	4729	3514	3152	3089	4020	3647	4882	3394	6877
9731	1657	2408	2115	1491	1878	1895	2045	1844	1909	2403	1485	2171	1464	2716
1677	545	736	706	557	667	712	552	514	439	748	518	753	480	872
107984910	35	29	36	36	35	57	11	8	10	11	11	18	13	17
339448	1097	1728	1338	1240	1379	1558	1644	1282	1221	1424	1301	1786	1309	2181
100133612	9	6	4	0	0	0	1	3	3	4	1	6	1	4
728716	1	0	0	12	8	7	0	0	0	0	2	0	0	0
105376672	1	0	0	6	0	6	0	0	0	0	0	0	0	1
105376673	0	0	0	0	0	0	0	0	0	1	0	0	0	0
284661	0	2	0	0	2	2	0	0	0	0	0	0	0	0
105376674	0	0	0	0	1	1	0	0	0	0	0	0	0	0
105376679	3	0	3	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	1015	1288	1289	1903	1435	2415	0	0	0	0	0	0	0	0
105376680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	1	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	1	1	1	0	0	0	0	0	0	0	0
100616421	0	2	1	0	0	1	1	0	0	1	1	0	1	0
261734	1318	1724	1635	836	927	937	1180	1157	1485	1580	927	1418	925	1314
8514	943	1026	1453	1723	1401	2007	1034	813	791	997	955	1004	994	1528
26038	4036	4644	7204	7265	3784	7457	1052	1199	891	1578	1032	1365	850	1041
105376687	8	5	11	9	3	16	2	4	6	2	0	2	1	1
6146	25254	34966	30945	23613	29522	27469	35079	28635	22670	27862	28938	36235	30613	40796
107985733	87	139	127	132	127	140	96	79	71	86	95	74	96	137
102724450	19	16	15	18	18	31	3	4	3	7	3	8	16	5
388591	343	477	455	262	227	308	98	99	123	200	90	127	77	133
23463	2788	4062	2803	1704	1978	2243	3448	3048	3050	3945	2391	3848	2239	3177
148645	2	0	1	6	1	4	3	3	4	4	0	4	3	5
390992	0	7	1	5	30	7	11	9	9	7	65	17	40	27
387509	1517	2040	2486	3366	3405	3164	2010	1926	1474	2173	2885	2546	2407	2973
11332	3707	4369	5831	9932	8907	10204	4671	4172	3087	4093	7425	7566	6680	10827
54626	8	5	7	3	40	10	11	13	10	13	14	14	7	9
83715	70	125	96	67	177	86	58	116	87	170	114	82	119	92
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	767	1047	1027	864	840	866	489	521	564	917	457	555	379	613
57449	2365	3078	3231	2944	2474	2647	1379	1467	1812	2633	1437	1851	1246	2317
79707	864	1338	1348	890	885	1217	1094	877	837	1162	859	1235	809	1392
80835	3	5	6	2	0	4	5	6	7	8	6	9	0	5
107984912	0	0	0	0	0	1	0	0	1	1	0	1	0	0
3104	1114	1566	1543	952	953	1076	1157	1098	1194	1342	1105	1469	975	1691
9903	1494	1908	1181	682	872	925	1150	1168	1493	1681	616	1268	687	1095
107984913	28	33	54	31	29	34	19	29	36	51	23	33	23	33
148479	1095	1348	1166	1229	996	1489	1448	1248	1151	1488	1126	1346	1000	1256
90326	1602	1938	2080	2062	2310	2267	1752	1612	1694	1947	1786	2375	1782	3034
55735	2076	3028	2702	1783	2013	2280	2385	2117	2136	2603	2248	3298	1993	3426
100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110841581	6	10	3	34	29	34	22	17	17	20	17	24	30	31
23261	3848	4747	4875	9381	5944	11486	4855	3706	3266	4707	4257	5165	4183	5959
105376692	0	0	0	0	0	0	0	0	0	1	0	0	0	1
102725193	0	0	0	0	0	2	0	0	0	0	0	0	0	0
101928836	0	0	1	0	0	2	0	0	0	1	1	0	0	1
105376691	0	0	0	1	0	2	1	0	0	0	0	0	0	1
105376689	828	1154	1138	990	1054	1258	1882	1441	1253	1724	1548	1606	1594	1801
9341	2437	3268	2057	825	1255	1167	2694	2386	2136	2899	1167	2461	1512	2058
8863	734	1071	935	908	880	1190	722	561	616	752	400	544	458	721
10911	0	1	1	21	13	98	2	4	1	4	7	3	1	6
3604	1	1	5	0	0	3	4	1	2	3	1	2	0	1
11315	8736	12069	9726	8289	8777	9182	10415	9317	8554	10037	8275	12144	8162	12551
54206	1545	2395	1849	2342	2199	2817	2656	1933	1729	2156	1963	2662	2116	2888
107984915	0	0	0	0	2	3	0	0	0	0	0	0	0	0
102724539	1	0	0	0	0	0	0	0	0	0	0	0	1	0
105376695	1	0	0	0	0	0	0	0	0	0	0	0	0	1
50651	415	430	663	863	630	879	259	261	300	343	482	488	409	903
473	6303	8922	7972	7185	5803	7985	6364	5663	6169	8469	6652	9174	5295	9216
102724552	2	3	1	0	0	3	4	3	1	5	0	4	1	2
106632271	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2023	25664	38636	30043	15332	15820	19421	33978	28493	27427	31342	23317	39442	22801	31187
102465436	0	1	2	1	4	0	0	2	1	1	1	1	0	2
100505975	20	23	13	20	15	9	23	30	22	32	18	41	14	31
112268261	0	0	0	1	0	0	0	0	0	0	0	1	0	4
765	1	0	0	0	0	0	0	0	0	0	1	0	0	1
155184	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6518	132	126	72	5	19	3	54	96	82	103	0	52	2	4
80045	160	220	123	59	89	60	166	144	141	208	49	110	52	94
106614088	733	981	697	203	348	300	472	412	436	577	218	373	289	319
407040	10	5	11	2	3	6	6	6	11	7	2	6	5	1
102724571	179	277	139	49	94	56	128	150	157	226	43	116	78	82
9563	1937	2628	2174	1058	1004	1465	2570	1989	2072	2550	1111	2042	1142	1512
80176	199	203	151	241	192	325	290	235	298	352	108	220	121	189
100506022	53	77	79	37	65	43	89	76	68	89	63	76	93	106
84275	1263	1801	1530	1519	1710	1871	1930	1804	1510	2006	1510	2027	1558	2483
199953	1282	1538	1284	1111	988	1042	873	926	1070	1310	1078	1744	913	1501
107985734	60	92	56	35	46	53	40	43	49	78	42	61	46	42
105376712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5293	681	857	779	630	454	883	611	479	527	689	397	487	431	519
644997	0	0	1	0	0	0	0	0	0	1	0	0	0	0
101929074	97	107	88	13	36	19	109	100	140	117	48	90	52	96
22883	13506	19206	17978	14760	13202	19567	15081	11988	12106	15173	11008	14626	9563	16746
56998	2409	3041	2933	2829	2836	3217	3217	2596	2089	2610	2748	3359	2872	3995
105376717	129	132	125	95	130	115	148	108	103	119	118	168	118	204
84328	2922	4196	3664	2966	3221	3463	3274	2866	2480	3445	2794	3754	2984	3975
64802	845	1182	765	377	503	468	904	858	841	1069	532	959	697	912
113391335	3	1	0	0	1	0	0	1	1	2	0	0	0	0
100847055	0	0	0	1	0	0	0	0	0	0	0	0	0	0
116362	31	23	18	2	9	8	14	10	5	11	5	11	4	12
10277	3126	4718	3737	2340	2685	3234	4363	3500	3350	4080	3415	4621	3174	4488
23095	16726	23651	26058	22161	19945	32056	21069	15836	13660	19069	18417	22245	18182	24140
105376725	10	12	15	8	13	43	27	19	13	31	14	14	15	22
5226	11704	16038	14545	11266	11246	14415	17132	13331	12219	13825	14120	19085	13788	19947
100526739	452	538	389	192	225	214	480	480	544	694	377	628	357	569
378708	466	559	394	190	220	201	516	519	551	726	384	639	378	597
1325	56	67	70	58	56	56	42	45	49	56	53	62	42	63
1676	3587	5239	3813	2349	2712	3058	4371	3918	3928	5016	2816	4556	2855	4396
5195	1233	1380	1293	1095	1085	1126	1060	1005	1067	1319	950	1502	1090	1813
54897	661	693	539	320	243	204	861	804	1014	1414	539	870	567	786
105376733	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105376735	0	0	0	1	0	0	0	0	0	0	1	0	0	2
148345	2	2	10	2	0	1	7	1	4	9	2	1	4	1
23435	10503	13931	12105	9151	10324	12226	15062	10951	10469	13784	10581	14403	10658	15260
10747	383	552	560	374	368	576	411	303	349	495	326	439	326	468
6723	1912	2930	2885	1936	2345	1904	2181	1804	1823	2369	2372	3480	2037	4902
5394	3666	5336	5083	3060	3277	4108	4668	3403	3378	4000	4150	5856	3735	5850
105376736	166	200	194	125	112	140	186	132	147	175	165	231	151	217
2475	4466	6189	5460	3423	3679	4523	5533	4131	4716	5292	4138	6233	3837	6063
100873935	64	100	86	54	60	73	117	57	70	94	60	108	67	87
10218	14	27	12	3	16	4	95	66	107	109	17	88	18	34
29914	1210	1737	1809	1172	1320	1541	1571	1291	1187	1536	1354	1939	1292	2284
105376737	0	3	5	10	17	16	39	42	26	46	43	38	40	114
105376739	2	4	4	1	1	0	3	4	3	3	2	9	1	2
105376740	8	15	15	12	13	32	20	9	3	12	4	10	11	21
57540	1367	1702	2013	1723	1875	1693	1632	1623	1207	1884	2132	2404	1812	2546
112268221	63	83	86	90	86	77	59	71	60	78	123	140	100	142
101929181	0	2	0	0	1	1	2	5	1	1	0	2	2	5
26232	489	489	351	307	384	401	520	509	742	791	287	573	422	819
93611	4184	4998	5228	6332	5949	6673	3319	3357	3541	4676	3390	4025	3329	5497
26270	157	246	224	176	187	221	157	171	207	227	105	163	99	176
10459	3760	4732	4326	2870	3614	3398	4906	3809	3279	3503	3941	5065	4054	4835
374946	7483	11683	12162	8875	10913	12921	18342	13725	10134	13062	14419	18035	13149	16095
57085	1635	1987	1075	212	484	289	1549	1640	1921	2059	693	1953	750	1282
284498	503	713	645	457	472	554	489	375	451	520	383	495	385	578
102724659	0	0	0	0	0	0	0	0	0	1	0	0	2	0
4524	2115	3122	2912	2169	2139	2774	2369	1794	2024	2366	1727	2244	1702	2739
1185	2155	3408	3616	3099	2987	4983	3664	2479	2536	2942	2846	3594	2606	5058
100379251	295	485	491	409	414	654	502	336	328	405	364	486	361	675
4878	59	105	99	77	114	95	48	38	31	62	38	41	28	46
4879	0	1	2	7	19	17	3	1	1	5	1	1	2	8
26829	1	0	3	3	1	3	6	3	9	5	9	7	5	8
90231	2662	2868	2501	1755	2056	1975	2670	2633	2956	3417	2049	3177	2199	3452
5351	3750	5178	3443	1332	1302	1517	1913	1978	2578	3097	562	1669	836	1663
9927	6271	8890	8144	7221	7073	9565	8172	6312	6167	7367	5935	8305	5974	9129
60672	1332	1429	1990	2504	2609	2092	1408	1342	1416	1735	2189	2379	2072	3199
102466982	2	4	3	4	6	3	1	4	3	9	7	4	9	7
943	2	3	1	2	4	4	4	4	2	2	0	11	5	8
102465836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7133	1	1	1	1	3	5	7	3	6	0	3	1	4	8
100616438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55187	2303	3240	2974	2201	1928	3315	2504	1777	1973	2531	1839	2618	1806	2956
677885	4	7	7	3	7	15	9	6	11	16	3	9	4	2
105376744	4	4	5	1	2	3	4	2	3	4	0	3	0	2
9249	2656	2997	1588	2556	1017	2908	2172	1606	2000	1687	2674	2960	2148	3249
102466722	1	3	4	2	1	4	6	4	3	6	7	11	3	7
343066	3	0	0	0	0	3	4	1	4	0	4	0	0	2
126767	0	0	0	0	0	0	0	0	0	1	0	0	0	0
93190	1674	2155	985	85	211	52	1006	1218	1625	2005	64	1069	88	202
390999	7	10	3	2	4	5	17	4	9	13	0	9	3	1
65121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343069	3	1	2	3	1	5	3	5	4	3	7	1	7	2
65122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	0	0	0	1	0
441871	0	0	0	0	0	0	0	0	0	0	0	0	2	0
440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	1	0	2	1	0
649330	0	0	0	0	0	0	0	0	0	1	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	1	0	0	0	0	0	1	0	0	1	1	0	0	0
440563	1	5	1	1	2	1	5	5	4	0	5	0	3	0
645354	1	0	0	0	0	0	1	0	0	1	1	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0	1	0
101060301	1	1	2	1	2	1	0	0	1	1	2	1	0	0
343070	0	0	0	0	0	0	0	0	0	1	0	2	0	0
400736	0	0	1	0	0	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0	1	0	0	0	0
343068	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0	1	0
645382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	1	0	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	1	0	0	0	0	0	1	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126755	0	0	3	1	1	1	1	1	2	1	0	3	0	0
102724856	0	0	0	0	0	1	0	0	0	0	0	0	0	0
107984918	0	0	0	3	1	0	0	0	0	0	0	0	0	0
10630	322	468	312	831	981	893	1926	1848	1176	1650	2373	2818	1989	1708
107984919	2	0	4	4	9	14	14	14	4	3	8	8	13	11
105378612	0	0	0	1	1	1	0	1	0	0	3	0	2	2
105376756	0	1	0	1	1	2	0	0	1	0	0	1	0	2
7799	3005	4510	4656	4343	4047	5957	4313	3365	2914	3856	3886	4570	3630	5290
23254	3155	4336	4295	3398	3782	4127	2845	2719	2567	3733	2698	3438	2326	4036
107985467	1	1	0	0	0	2	1	0	3	5	4	6	8	2
107985468	0	0	0	0	0	0	0	0	2	0	2	2	3	0
105376762	0	0	0	0	0	0	1	1	0	1	0	0	0	0
105376759	2	8	6	1	2	6	4	5	5	6	1	5	1	3
107985469	7	6	4	2	0	9	0	1	6	3	5	3	2	1
200197	693	1041	1235	566	680	708	514	395	339	514	650	694	465	879
55092	496	611	464	174	287	280	390	274	360	363	290	401	273	327
727684	1	0	0	0	1	0	1	0	3	0	1	1	0	0
114827	823	1098	575	33	109	30	469	647	928	1089	43	397	75	85
101927417	63	109	42	2	14	5	42	71	69	83	10	62	3	14
101927441	63	90	87	16	27	23	91	115	155	220	8	89	20	42
79180	1233	1283	1191	1105	1112	980	1226	1249	1524	1711	1223	1493	1146	1492
11330	5	4	7	13	2	11	4	3	5	3	3	5	4	2
63036	0	2	2	16	9	15	7	8	8	11	5	5	6	6
105376767	4	4	9	14	12	16	14	9	17	14	1	5	3	12
51032	29	19	15	20	20	18	32	24	26	29	14	24	22	21
842	1071	1532	1156	644	870	889	1244	1126	1325	1511	954	1523	915	1296
23341	1081	1700	1400	829	871	1135	1424	1210	1356	1653	937	1422	918	1435
107397391	0	0	0	0	1	0	0	0	0	0	0	1	0	0
79814	17	16	19	8	8	8	23	11	17	24	15	17	11	26
84301	985	1541	1252	862	1009	1171	1419	1071	1140	1392	915	1219	989	1198
6248	150	257	227	132	168	214	271	181	176	228	167	247	196	261
23207	3646	4617	4712	4119	4012	4294	3904	3602	4180	4844	3775	5012	3447	6121
284723	215	298	323	231	275	253	196	178	227	297	267	259	225	410
110806303	16	24	24	14	21	17	15	13	11	25	16	18	14	27
388595	0	0	0	1	0	1	0	0	0	1	0	0	0	0
54751	558	723	979	1276	1100	1526	342	314	191	315	395	402	378	731
440567	636	817	572	372	547	413	1259	1139	1051	1226	944	1213	868	1484
729614	538	552	643	764	744	735	614	554	467	539	666	697	689	911
23013	4120	6317	7098	5591	5563	7826	5971	4656	4260	5545	4691	5985	4233	6277
7709	1903	2166	2624	2516	2682	2530	2133	1894	2000	2215	2812	3049	2637	4521
149563	3	3	0	0	0	0	2	2	1	0	0	0	0	1
27129	65	73	38	3	5	4	24	34	45	69	2	27	1	10
1187	222	280	108	2	26	11	59	112	229	311	2	53	10	14
1188	25	28	10	8	5	8	23	21	18	30	9	9	14	14
348487	82	82	153	166	126	199	38	48	32	60	44	37	67	58
1969	2056	2375	1460	212	526	414	2097	1820	2196	2533	872	1833	1167	1339
101927479	11	21	17	0	0	0	10	13	15	14	2	6	7	6
