gene_symbol	OFO1003B1	OFO1003B2	OFO1003O1	OFO1003O2	OFO1003V1	OFO1003V2	OFO1004B1	OFO1004B2	OFO1004O1	OFO1004O2	OFO1004V1	OFO1004V2	OFO1005B1	OFO1005B2	OFO1005O1	OFO1005O2	OFO1005V1	OFO1005V2
TPRG1L	733	744	421	428	604	618	869	835	594	805	655	509	829	793	684	653	889	784
WRAP73	264	262	261	309	352	312	349	300	279	337	303	235	317	300	278	273	361	276
TP73	282	266	115	143	114	84	124	105	105	152	38	36	70	71	62	60	62	72
TP73-AS1	715	664	550	535	765	704	452	544	492	621	568	457	666	596	358	374	552	412
CCDC27	11	13	3	3	11	9	12	14	10	11	17	7	14	5	6	5	10	7
SMIM1	35	14	14	16	7	15	18	20	12	18	4	7	18	10	17	10	28	23
LRRC47	1485	1373	1132	1129	1715	1707	1543	1418	1354	1619	1492	1111	1716	1716	1302	1595	1838	1477
CEP104	644	686	363	425	562	580	590	573	444	587	464	325	563	528	343	365	499	379
DFFB	105	120	79	101	117	111	100	94	68	77	77	71	115	122	70	78	97	64
C1orf174	297	323	312	336	398	399	393	392	351	472	368	288	450	427	396	384	404	280
LINC01134	1	2	2	0	1	0	0	1	0	1	0	1	0	4	0	1	0	0
LINC01346	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AJAP1	136	104	40	32	60	63	60	74	93	114	68	60	101	94	82	96	84	67
MIR4417	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	345	299	180	221	336	277	232	232	249	329	227	176	233	228	139	152	176	158
KCNAB2	477	411	365	377	521	547	248	244	262	308	336	264	492	500	127	161	318	295
CHD5	1030	1177	352	354	877	895	246	286	435	465	664	498	1197	1124	60	97	716	589
RPL22	8386	8413	11733	12879	14938	14039	12381	10391	9564	12609	13017	8776	14699	12631	9926	9543	11701	8233
RNF207	70	70	16	36	49	37	49	48	30	55	46	28	45	53	59	63	61	55
ICMT	972	994	477	484	655	595	1924	1793	1418	1944	1482	1023	708	635	1931	1840	1862	1527
LINC00337	0	1	1	2	0	1	7	3	5	14	21	10	1	1	38	34	45	32
HES3	4	9	1	9	1	3	622	607	300	414	565	446	4	1	228	263	231	237
GPR153	794	731	662	663	749	761	1044	1060	700	821	850	643	735	686	192	208	548	477
ACOT7	1612	1553	1215	1394	1682	1683	1553	1551	1293	1584	1542	1170	1909	1822	1329	1583	1860	1588
HES2	33	18	5	4	5	4	29	32	18	35	16	8	19	12	39	46	36	34
ESPN	184	171	39	56	64	66	111	115	136	161	109	84	104	136	64	66	101	127
MIR4252	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
TNFRSF25	240	221	307	271	412	390	141	130	137	144	211	134	259	248	59	73	147	149
PLEKHG5	695	682	640	681	933	921	398	402	417	465	502	411	633	628	162	191	395	358
NOL9	426	404	290	351	525	487	403	458	380	493	433	360	461	454	424	418	406	340
TAS1R1	1	4	8	4	5	1	1	4	1	1	6	1	3	3	1	2	2	3
ZBTB48	261	272	280	262	305	289	294	273	225	245	251	188	280	276	199	163	270	204
KLHL21	675	644	458	429	569	681	653	742	591	713	427	369	517	547	457	520	515	429
PHF13	496	479	396	435	660	644	585	538	488	705	627	504	655	611	531	519	673	530
THAP3	304	298	346	404	441	422	294	270	264	294	316	231	504	463	128	181	225	189
DNAJC11	577	528	321	379	436	438	693	680	640	842	621	467	414	424	739	817	755	632
LOC100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CAMTA1	1761	1665	1077	1190	1632	1644	1547	1474	1433	1799	1673	1172	2397	2081	993	1110	1829	1521
VAMP3	689	681	382	357	443	398	665	610	599	736	487	413	667	527	715	729	863	694
PER3	319	341	167	152	250	235	197	211	288	397	174	124	358	337	254	264	360	275
UTS2	1	7	2	2	2	1	9	7	3	3	0	0	18	25	2	2	1	8
TNFRSF9	3	6	2	3	2	0	11	9	1	3	1	1	6	2	3	3	1	5
PARK7	3814	3959	4052	4279	4713	4383	4633	4497	3529	4712	3951	2805	5131	4731	3676	4078	4653	3897
ERRFI1	545	568	314	305	451	483	625	662	369	468	457	298	714	569	592	601	842	612
SLC45A1	186	195	110	115	171	176	71	69	68	83	80	65	227	191	13	20	80	89
RERE	2774	2579	1529	1589	2362	2378	1844	2144	1886	2443	1874	1467	2406	2505	1294	1405	2060	1865
ENO1	18020	17400	11418	11953	14802	14305	19259	19442	23014	29342	17211	13092	12330	11909	26853	29593	24330	20900
MIR6728	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0
ENO1-AS1	0	1	1	1	2	2	1	2	2	1	0	1	1	1	5	3	1	1
CA6	0	1	2	1	1	2	2	1	3	0	1	2	2	0	1	3	0	0
SLC2A7	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
SLC2A5	170	122	18	26	29	26	29	32	69	66	7	5	38	38	10	10	28	18
GPR157	38	19	22	16	19	13	18	23	18	23	13	12	22	20	13	9	16	11
MIR34A	5	5	6	3	14	6	3	2	3	11	2	4	2	7	5	2	10	13
H6PD	1258	1218	713	760	995	966	817	881	589	805	504	427	865	876	311	330	539	490
SPSB1	160	161	89	111	143	132	131	117	79	95	54	40	116	118	92	66	106	101
LOC100506022	28	48	17	14	19	22	24	16	9	14	13	7	14	16	7	4	13	15
SLC25A33	303	275	264	323	381	349	595	539	374	555	542	437	629	473	633	632	660	509
TMEM201	381	321	268	313	385	376	389	347	357	376	293	228	279	274	210	235	283	223
PIK3CD	267	290	260	237	379	355	137	147	151	189	206	153	316	316	187	229	297	263
C1orf200	0	0	0	0	1	0	0	1	0	1	0	0	1	1	3	2	0	0
CLSTN1	7365	6912	3771	3784	5380	5383	4116	4425	4700	5666	4044	2944	5819	5855	2114	2239	3851	3265
CTNNBIP1	1175	1171	748	663	861	846	817	744	701	769	675	477	1133	988	436	475	797	620
LZIC	469	468	364	364	495	471	504	487	348	533	450	292	589	529	270	277	360	279
NMNAT1	243	228	115	135	157	161	238	203	159	237	192	142	195	143	147	148	160	139
RBP7	6	5	3	4	3	4	0	3	4	10	6	2	1	4	27	21	26	21
UBE4B	1309	1366	817	815	1112	1141	1118	1221	1175	1486	1148	786	1157	1046	1135	1180	1416	1076
KIF1B	8792	8922	4848	4907	7951	7512	5476	6257	6023	7863	6287	4844	8968	8741	2557	2583	5140	4266
PGD	3690	3774	2909	3244	4179	4020	4715	4383	4212	5461	4452	3275	4714	4320	4848	4922	5456	4252
APITD1-CORT	8	5	1	0	0	3	4	0	7	3	3	2	0	1	4	0	3	3
APITD1	31	20	15	16	19	21	28	31	20	29	31	19	21	9	33	25	36	38
CORT	11	10	10	19	22	24	14	9	6	9	9	14	22	20	2	7	12	8
DFFA	595	581	442	454	557	571	862	867	742	979	797	594	532	502	1224	1295	1238	1014
PEX14	510	503	462	492	554	574	493	473	493	568	551	383	500	488	398	539	497	424
CASZ1	221	216	223	167	202	219	170	179	169	204	114	70	197	188	73	79	99	89
C1orf127	0	0	1	3	0	0	3	1	0	1	0	0	1	0	3	0	0	0
TARDBP	2890	2851	2140	2334	3260	3203	3534	3420	3255	4071	3437	2365	2843	2627	3119	3181	3536	2877
MASP2	106	82	61	42	99	117	65	72	59	81	76	61	102	79	18	24	40	46
SRM	1004	924	1174	1158	1244	1181	1162	1336	1003	1103	1179	977	1209	1203	1291	1485	1256	1171
EXOSC10	958	1011	713	631	998	933	1033	1103	993	1250	952	748	898	849	1039	1113	1171	919
MTOR	1637	1645	741	798	1032	1063	1511	1872	1440	1928	1226	951	1206	1218	1507	1524	1679	1402
MTOR-AS1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	2
ANGPTL7	22	13	2	2	3	6	3	3	10	7	4	2	20	14	3	4	16	11
UBIAD1	397	394	290	310	436	440	473	509	422	551	436	353	452	463	380	453	437	399
PTCHD2	803	768	769	736	1125	1208	184	235	259	291	386	336	583	557	78	94	212	207
LOC101929181	0	0	1	1	0	3	0	0	2	0	2	0	0	0	1	2	1	0
FBXO2	330	324	153	182	164	175	321	288	285	300	347	298	178	215	493	572	592	489
FBXO44	1029	942	810	805	1193	1207	551	528	523	743	740	566	1214	1127	374	443	704	575
FBXO6	134	120	97	102	128	132	95	85	98	108	87	75	118	106	77	81	92	89
MAD2L2	1458	1263	2152	2203	1851	1984	2776	2835	2098	2708	2890	2290	1853	1897	3221	4105	4012	3714
DRAXIN	1272	1273	979	1006	1442	1456	2415	2501	1703	2149	2149	1640	1653	1653	1018	1129	1360	1142
AGTRAP	504	491	249	244	218	157	524	602	478	625	361	268	234	211	627	716	709	656
C1orf167	0	0	8	1	1	4	3	0	4	1	8	3	1	3	10	7	3	2
MTHFR	689	716	435	479	661	660	565	603	517	556	509	398	810	708	210	222	426	318
CLCN6	994	1025	582	595	1156	1095	784	815	756	870	872	699	1340	1274	331	391	584	500
NPPA-AS1	3	0	0	0	1	0	9	1	3	3	2	3	0	5	0	2	1	2
NPPA	176	139	15	19	21	23	19	12	12	7	14	5	45	41	9	6	26	16
NPPB	3	7	6	12	3	4	9	20	25	32	6	3	1	2	61	56	35	24
KIAA2013	1106	1066	787	807	1144	1134	1121	912	1018	1106	895	764	866	825	852	961	1059	835
PLOD1	1362	1370	695	599	766	848	1178	1276	1198	1430	794	630	879	849	877	984	1128	993
MFN2	2285	2308	1616	1734	2433	2439	2509	2573	2216	2727	2142	1688	3032	2904	1779	1980	2583	2072
MIIP	549	462	567	546	706	687	613	607	433	600	636	476	673	663	731	914	783	687
MIR6729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	2	1	0	4	8	6	43	53	69	80	130	105	7	4	251	262	231	196
MIR7846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	117	74	94	38	81	91	160	102	95	47	107	138	107	64	99	180	104	113
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	1101	1165	406	455	789	713	679	772	761	1016	563	409	815	775	470	472	697	577
SNORA59B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	618	540	579	607	444	465	462	493	292	385	297	214	270	306	401	404	402	368
MIR6730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
AADACL4	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	2	2	6	0	7	5	0	0	31	36	26	28
C1orf158	85	107	6	7	7	9	21	16	48	43	2	2	22	27	2	1	10	12
PRAMEF12	0	1	0	0	0	0	24	24	7	6	5	8	1	2	9	8	18	12
PRAMEF1	0	0	0	1	0	0	5	19	2	8	4	0	0	0	0	1	2	2
PRAMEF11	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	3	0
LOC649330	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	1	0	9	4	6	11	3	0	0	0	1	3	1	4
PRAMEF4	0	0	0	0	0	0	4	6	0	3	2	0	0	0	3	0	3	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	1	3	0	0	0	1	0	0	1	1	0	4	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC391003	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LOC645354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC649324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	1	4	4	5	3	7	4	4	4	4	0	1	4	3	2	3	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC645382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC400736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	1
LRRC38	0	0	0	0	1	2	0	1	0	0	2	1	1	0	4	12	7	4
PDPN	590	675	200	233	254	245	1626	1764	1956	2629	1441	1104	345	361	2178	2171	1600	1298
PRDM2	1164	1285	826	801	1363	1349	945	917	889	1212	951	723	1404	1283	522	458	835	616
KAZN	1048	1181	862	858	1253	1268	787	823	807	968	639	533	1322	1312	432	453	673	611
TMEM51-AS1	35	43	13	20	23	29	19	3	13	19	17	11	25	18	34	28	46	27
TMEM51	218	237	83	99	104	105	216	225	138	228	191	132	184	177	352	414	361	319
C1orf195	1	0	1	0	0	1	0	0	0	2	1	1	1	1	4	3	3	3
FHAD1	268	237	33	40	44	56	93	91	104	119	12	9	53	47	11	11	43	22
EFHD2	731	608	624	664	599	585	721	573	423	511	358	293	590	506	360	419	465	360
CTRC	2	0	2	2	4	1	0	0	2	2	0	2	2	0	2	1	0	0
CELA2A	5	1	3	11	10	6	1	0	4	5	2	0	12	1	1	2	2	1
CELA2B	7	8	17	24	15	22	9	19	3	5	5	0	8	8	0	3	10	9
CASP9	236	226	152	154	213	256	323	284	200	231	238	148	202	181	244	236	306	211
DNAJC16	357	355	134	133	229	261	374	367	318	415	288	182	269	235	273	231	305	245
AGMAT	73	58	3	3	3	3	55	54	31	38	29	24	6	4	87	84	91	71
DDI2	96	93	64	55	94	83	133	126	130	162	100	62	72	79	110	133	125	104
RSC1A1	52	48	40	42	60	62	77	76	70	79	76	48	41	60	88	78	98	70
PLEKHM2	1526	1494	1195	1271	1540	1546	1437	1441	1112	1370	1228	909	1620	1543	868	971	1215	1008
SLC25A34	54	33	36	50	59	54	21	30	21	20	27	16	43	47	10	10	30	20
TMEM82	5	8	0	0	0	1	9	6	1	2	0	0	0	0	1	0	4	5
FBLIM1	468	429	332	336	451	470	243	290	143	198	268	229	301	331	438	540	568	463
UQCRHL	140	123	131	144	118	95	134	140	95	135	103	123	123	172	183	215	225	181
FLJ37453	121	130	198	194	229	212	130	124	90	116	134	85	233	181	109	125	171	157
SPEN	2165	2292	1988	1921	3151	3146	1345	1653	1726	2210	1979	1662	2269	2166	909	987	1485	1247
ZBTB17	602	619	754	752	906	942	530	559	455	537	567	416	681	705	285	314	431	363
C1orf64	1	0	1	0	0	0	5	6	0	3	6	5	0	0	11	8	23	11
HSPB7	96	108	9	13	12	17	32	49	0	1	0	4	13	12	5	4	6	6
CLCNKA	28	36	5	3	11	11	2	12	10	8	3	0	7	11	4	5	9	20
CLCNKB	6	7	6	6	6	4	8	3	3	8	13	12	5	5	11	23	26	14
FAM131C	72	55	66	65	100	103	28	28	30	42	57	51	98	140	6	2	41	42
EPHA2	634	568	592	628	704	637	701	741	656	776	556	377	712	745	393	464	485	443
ARHGEF19	90	74	61	64	93	63	60	69	32	57	47	43	46	38	94	123	93	87
RSG1	186	178	102	100	159	131	126	122	84	126	93	67	159	151	33	56	99	91
FBXO42	564	574	474	483	728	724	532	563	479	639	533	440	712	718	327	322	416	391
SZRD1	1973	1818	1605	1680	1931	1912	2430	2361	2063	2665	2090	1634	1729	1624	2010	2206	2251	1746
SPATA21	2	0	7	8	12	8	5	3	0	3	5	3	8	5	3	3	2	1
NECAP2	598	629	344	412	508	439	595	622	519	661	523	282	516	482	558	659	690	552
CROCCP3	248	303	164	168	317	303	153	162	138	199	140	139	205	166	50	70	116	104
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NBPF1	1512	1528	764	762	1104	1035	833	865	696	935	626	491	1091	1007	368	367	707	512
CROCCP2	717	695	598	601	883	924	562	563	430	565	726	577	622	667	442	493	567	484
MST1P2	156	148	31	29	82	63	63	56	42	38	52	50	27	25	39	47	63	58
FAM231A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPNP	5	1	1	0	4	5	4	9	2	7	5	3	3	7	4	9	5	3
MST1L	72	58	16	22	42	33	28	28	23	34	52	47	39	43	10	18	40	26
CROCC	969	930	446	485	720	736	1030	915	805	987	752	599	476	527	497	618	603	477
MFAP2	753	644	563	572	496	500	382	343	375	463	269	186	373	386	409	500	546	458
ATP13A2	2192	2023	1400	1577	2168	2108	1321	1318	1283	1571	1383	1176	2200	2117	847	1028	1693	1432
SDHB	827	784	694	751	789	787	897	782	604	741	674	464	954	930	960	1115	1015	844
PADI2	27	53	94	100	81	76	64	85	17	23	50	43	44	46	64	58	77	69
PADI1	7	3	0	1	0	0	23	33	2	1	7	4	4	1	6	4	2	5
PADI3	3	7	0	0	0	1	2	5	4	4	12	2	1	2	20	22	26	20
PADI4	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1
PADI6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
RCC2	1200	1266	1302	1253	1677	1659	2265	2118	2082	2687	2555	1821	1196	1002	3850	3780	3820	3064
ARHGEF10L	870	854	520	535	712	793	648	661	546	631	482	438	666	660	313	349	464	410
ACTL8	0	3	1	0	1	0	0	1	2	2	4	1	1	3	5	5	4	0
IGSF21	800	694	501	511	612	640	166	191	214	246	298	271	1127	1204	30	22	329	309
KLHDC7A	170	216	37	31	30	21	43	33	45	82	7	2	13	33	19	25	27	20
PAX7	92	97	206	259	380	379	222	163	118	164	147	98	129	111	49	36	90	57
TAS1R2	1	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0
